id,name,abbr,archetype,branch,tier,level_max,stats.spd,stats.atk,stats.rng,stats.def,stats.hp,stats.jump,stats.wp,stats.mag,stats.res,growth.spd,growth.atk,growth.rng,growth.def,growth.hp,growth.jump,growth.wp,growth.mag,growth.res,equipment_access,granted_abilities,required_classes,derived_bonuses,jp_costs,prerequisites
templar,Templar,TEM,physical_defense,guard,5,10,,1.0,,5.0,17.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""pacify"": 90, ""slumber"": 120, ""addle"": 160, ""use_phoenix_down"": 160, ""group_heal_2"": 190, ""healing_rain"": 220, ""ice_lance"": 250}","{""classes"": [[""knight"", 4], [""acolyte"", 3]]}"
warden,Warden,WAR,physical_defense,guard,4,10,,1.0,,5.0,16.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""sanctuary"": 80, ""consecrate"": 100, ""sanctify"": 130, ""blessing_of_ward"": 130, ""tremor_strike"": 160, ""terrify"": 180, ""arcane_seal"": 210}","{""classes"": [[""sentinel"", 4]]}"
bulwark,Bulwark,BUL,physical_defense,guard,6,10,,1.0,,6.0,18.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""sap"": 110, ""reflect"": 140, ""ignite"": 180, ""drench"": 180, ""spell_penetration"": 220, ""dual_cast"": 250, ""quick_cast"": 290}","{""classes"": [[""shieldmaster"", 4]]}"
vanguard,Vanguard,VAN,physical_defense,guard,4,10,,1.0,,5.0,16.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""ensnare"": 80, ""daze"": 100, ""nightmare"": 130, ""cure_2"": 130, ""cure_3"": 160, ""soothing_mist"": 180, ""wind_nova"": 210}","{""classes"": [[""knight"", 4]]}"
bastion,Bastion,BAS,physical_defense,guard,9,10,,1.0,,7.0,21.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""immovable_fortress"": 150, ""last_stand"": 200, ""holy_aura"": 260, ""doom"": 260, ""jump_plus_3"": 310, ""absorb_sonic"": 360, ""mag_boost_3"": 410}","{""classes"": [[""warden"", 4], [""bulwark"", 3]]}"
man_at_arms,Man-at-Arms,MAN,physical_defense,guard,2,10,,1.0,,4.0,14.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""crippling_shot"": 50, ""use_potion"": 60, ""purify"": 80, ""triage"": 80, ""scattergun"": 100, ""ice_shard"": 110, ""lightning_shard"": 130}","{""classes"": [[""footman"", 3]]}"
ironclad,Ironclad,IRO,physical_defense,guard,4,10,,1.0,,5.0,16.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""arcane_nova"": 80, ""steam_nova"": 100, ""alchemical_nova"": 130, ""aether_nova"": 130, ""sonic_nova"": 160, ""bio_2"": 180, ""venom_spray"": 210}","{""classes"": [[""guardian"", 4], [""tinker"", 3]]}"
dreadnought,Dreadnought,DRE,physical_defense,guard,6,10,,1.0,,6.0,18.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""corrode"": 110, ""enfeeble"": 140, ""hex_spell"": 180, ""blight"": 180, ""spell_economy"": 220, ""inspiring_presence"": 250, ""wither"": 290}","{""classes"": [[""ironclad"", 4], [""sentinel"", 3]]}"
aegis_knight,Aegis Knight,AEG,physical_defense,guard,8,10,,1.0,,6.0,20.0,,,,1.0,,0.3,,0.6,2.0,,,,0.2,"[""sword"", ""longsword"", ""halberd"", ""mace"", ""heavy_armor"", ""plate_armor"", ""chain_mail"", ""medium_armor"", ""shield"", ""tower_shield"", ""buckler"", ""amulet_of_protection""]",[],[],{},"{""absolute_aegis"": 140, ""divine_grace"": 180, ""bulwark"": 230, ""aegis"": 230, ""def_boost_2"": 280, ""spd_boost_2"": 320, ""rng_boost_2"": 370}","{""classes"": [[""shieldmaster"", 4], [""templar"", 3]]}"
mage,Mage,MAG,magical_attack,arcane,2,10,,,,,,,,4.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""water_shard"": 50, ""earth_shard"": 60, ""wind_shard"": 80, ""arcane_shard"": 80, ""steam_shard"": 100, ""alchemical_shard"": 110, ""aether_shard"": 130}","{""classes"": [[""apprentice"", 4]]}"
black_mage,Black Mage,BLA,magical_attack,arcane,3,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""shrapnel_mine"": 60, ""sonic_shard"": 80, ""rune_fire"": 100, ""rune_ice"": 100, ""lancet"": 130, ""rune_dark"": 150, ""rune_poison"": 170}","{""classes"": [[""mage"", 5]]}"
elementalist,Elementalist,ELE,magical_attack,arcane,3,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""dark_shot"": 60, ""poison_shot"": 80, ""radiant_cone"": 100, ""split_punch"": 100, ""holy_spear"": 130, ""holy_nova"": 150, ""exorcise"": 170}","{""classes"": [[""mage"", 4]]}"
pyromancer,Pyromancer,PYR,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""discord"": 80, ""insult"": 100, ""veil_dance"": 130, ""inspire_courage"": 130, ""healing_chord"": 160, ""focus_fire"": 180, ""fire_bomb"": 210}","{""classes"": [[""elementalist"", 4]]}"
cryomancer,Cryomancer,CRY,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""frost_vial"": 80, ""corrosive_cloud"": 100, ""deploy_turret"": 130, ""turret_barrage"": 130, ""sonic_emitter"": 160, ""frost_breath"": 180, ""fire_spear"": 210}","{""classes"": [[""elementalist"", 4]]}"
electromancer,Electromancer,ELE,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""ice_spear"": 80, ""lightning_spear"": 100, ""water_spear"": 130, ""earth_spear"": 130, ""wind_spear"": 160, ""weapon_break"": 180, ""dark_spear"": 210}","{""classes"": [[""elementalist"", 4]]}"
aeromancer,Aeromancer,AER,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""dark_nova"": 80, ""poison_nova"": 100, ""holy_2"": 130, ""light_pillar"": 130, ""judgment_ray"": 160, ""sandstorm"": 180, ""tempo_shift"": 210}","{""classes"": [[""elementalist"", 4]]}"
geomancer,Geomancer,GEO,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""field_orders"": 80, ""sleeping_melody"": 100, ""pincer_orders"": 130, ""shock_vial"": 130, ""cluster_bomb"": 160, ""incendiary_grenade"": 180, ""gear_storm"": 210}","{""classes"": [[""mage"", 4], [""footman"", 3]]}"
sorcerer,Sorcerer,SOR,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""repair_drone"": 80, ""nanite_swarm"": 100, ""fire_2"": 130, ""ice_2"": 130, ""boost_dark"": 160, ""boost_poison"": 180, ""boost_arcane"": 210}","{""classes"": [[""black_mage"", 5]]}"
sage,Sage,SAG,magical_attack,arcane,5,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""thunder_2"": 90, ""landslide"": 120, ""fissure"": 160, ""cyclone"": 160, ""ring_of_fire"": 190, ""frost_ring"": 220, ""lightning_bolt"": 250}","{""classes"": [[""black_mage"", 4], [""scholar"", 3]]}"
archmage,Archmage,ARC,magical_attack,arcane,7,10,,,,,,,,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""arcane_singularity"": 120, ""fire_3"": 160, ""ice_3"": 200, ""thunder_3"": 200, ""absorb_ice"": 250, ""absorb_lightning"": 290, ""absorb_water"": 330}","{""classes"": [[""sorcerer"", 5], [""sage"", 4]]}"
spellblade,Spellblade,SPE,magical_attack,arcane,4,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""stone_2"": 80, ""aero_2"": 100, ""water_nova"": 130, ""earth_nova"": 130, ""boost_steam"": 160, ""boost_alchemical"": 180, ""boost_aether"": 210}","{""classes"": [[""mage"", 4], [""squire"", 3]]}"
rune_knight,Rune Knight,RUN,magical_attack,arcane,7,10,,,,,,,,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""runic_devastation"": 120, ""chain_lightning"": 160, ""stone_3"": 200, ""aero_3"": 200, ""absorb_earth"": 250, ""absorb_wind"": 290, ""absorb_holy"": 330}","{""classes"": [[""spellblade"", 4], [""knight"", 3]]}"
magus,Magus,MAG,magical_attack,arcane,7,10,,,,,,,,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""arcane_overload"": 120, ""water_3"": 160, ""tsunami"": 200, ""firaga"": 200, ""sure_strike"": 250, ""double_strike"": 290, ""follow_up"": 330}","{""classes"": [[""sorcerer"", 4], [""spellblade"", 4]]}"
stormcaller,Stormcaller,STO,magical_attack,arcane,6,10,,,,,,,,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""static_field"": 110, ""arcane_spear"": 140, ""steam_spear"": 180, ""alchemical_spear"": 180, ""aether_spear"": 220, ""sonic_spear"": 250, ""rallying_cry"": 290}","{""classes"": [[""electromancer"", 4], [""aeromancer"", 4]]}"
aethermancer,Aethermancer,AET,magical_attack,arcane,5,10,,,,,,,,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""crown_of_wisdom""]",[],[],{},"{""magic_break"": 90, ""mind_break"": 120, ""plague_wind"": 160, ""dark_2"": 160, ""poison_spear"": 190, ""crush_punch"": 220, ""holy_explosion"": 250}","{""classes"": [[""elementalist"", 4], [""tinker"", 3]]}"
cultist,Cultist,CUL,magical_attack,dark,2,10,,,,,,,1.0,4.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""courage"": 50, ""encore"": 60, ""angel_song"": 80, ""persuade"": 80, ""distracting_flourish"": 100, ""smoke_screen"": 110, ""sticky_bomb"": 130}","{""classes"": [[""apprentice"", 4]]}"
occultist,Occultist,OCC,magical_attack,dark,3,10,,,,,,,1.0,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""steam_jet"": 60, ""piston_punch"": 80, ""concussion_charge"": 100, ""dark_pulse"": 100, ""boost_fire"": 130, ""boost_ice"": 150, ""boost_lightning"": 170}","{""classes"": [[""cultist"", 5]]}"
warlock,Warlock,WAR,magical_attack,dark,7,10,,,,,,,1.0,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""abyssal_cataclysm"": 120, ""death_grip"": 160, ""shadow_flare"": 200, ""condemn"": 200, ""deadeye"": 250, ""executioner_innate"": 290, ""armor_breaker"": 330}","{""classes"": [[""occultist"", 4], [""sorcerer"", 3]]}"
necromancer,Necromancer,NEC,magical_attack,dark,5,10,,,,,,,1.0,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""seraphic_ray"": 90, ""use_hi_potion"": 120, ""curaja"": 160, ""greater_heal"": 160, ""lay_on_hands"": 190, ""life_song"": 220, ""slow_dance"": 250}","{""classes"": [[""black_mage"", 4], [""cultist"", 4]]}"
shadowmage,Shadowmage,SHA,magical_attack,dark,4,10,,,,,,,1.0,5.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""bio_2"": 80, ""venom_spray"": 100, ""rune_dark"": 130, ""rune_poison"": 130, ""equip_rod"": 160, ""equip_heavy_armor"": 180, ""equip_shield"": 210}","{""classes"": [[""cultist"", 4], [""cutpurse"", 3]]}"
hexer,Hexer,HEX,magical_attack,dark,6,10,,,,,,,1.0,6.0,1.0,,,,,0.8,,0.4,0.7,0.3,"[""staff"", ""rod"", ""wand"", ""robe"", ""enchanted_robe"", ""cloak_of_shadows""]",[],[],{},"{""command_defend"": 110, ""requiem"": 140, ""rousing_anthem"": 180, ""poison_gas"": 180, ""tar_bomb"": 220, ""mutagen_speed"": 250, ""tesla_coil"": 290}","{""classes"": [[""cultist"", 4], [""trickster"", 3]]}"
cleric,Cleric,CLE,magical_defense,divine,2,10,,,,1.0,6.0,,,2.0,4.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""hamstring"": 50, ""intimidate"": 60, ""taunt_shout"": 80, ""blinding_shot"": 80, ""smoke_arrow"": 100, ""incendiary_round"": 110, ""cryo_round"": 130}","{""classes"": [[""acolyte"", 4]]}"
white_mage,White Mage,WHI,magical_defense,divine,3,10,,,,1.0,7.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""stasis_sword"": 60, ""holy_shard"": 80, ""rune_holy"": 100, ""cura"": 100, ""boost_water"": 130, ""boost_earth"": 150, ""boost_wind"": 170}","{""classes"": [[""acolyte"", 4], [""page"", 3]]}"
abjurer,Abjurer,ABJ,magical_defense,wards,3,10,,,,1.0,7.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""rod"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""mana_shield"": 60, ""shield_wall"": 80, ""defensive_stance"": 100, ""slow"": 100, ""boost_holy"": 130, ""def_boost_1"": 150, ""spd_boost_1"": 170}","{""classes"": [[""cleric"", 4]]}"
warder,Warder,WAR,magical_defense,wards,4,10,,,,1.0,8.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""rod"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""sanctuary"": 80, ""consecrate"": 100, ""sanctify"": 130, ""blessing_of_ward"": 130, ""equip_robe"": 160, ""equip_greatsword"": 180, ""damage_split"": 210}","{""classes"": [[""abjurer"", 5]]}"
spellward,Spellward,SPE,magical_defense,wards,5,10,,,,1.0,9.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""rod"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""buzzsaw"": 90, ""shield_formation"": 120, ""ward_circle"": 160, ""iron_stance"": 160, ""boost_sonic"": 190, ""mag_boost_1"": 220, ""res_boost_1"": 250}","{""classes"": [[""abjurer"", 4], [""footman"", 3]]}"
runepriest,Runepriest,RUN,magical_defense,divine,5,10,,,,1.0,9.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""holy_2"": 90, ""light_pillar"": 120, ""judgment_ray"": 160, ""use_phoenix_down"": 160, ""counter_magic"": 190, ""mana_shield_innate"": 220, ""spell_reflect"": 250}","{""classes"": [[""cleric"", 4], [""scholar"", 3]]}"
exorcist,Exorcist,EXO,magical_defense,divine,3,10,,,,1.0,7.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""heal_mid"": 60, ""group_heal_1"": 80, ""rejuvenate"": 100, ""venom"": 100, ""rng_boost_1"": 130, ""wp_boost_1"": 150, ""equip_sword"": 170}","{""classes"": [[""cleric"", 5]]}"
inquisitor,Inquisitor,INQ,magical_defense,divine,7,10,,,,1.0,11.0,,,2.0,6.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""divine_tribunal"": 120, ""banish"": 160, ""seraph_nova"": 200, ""revive"": 200, ""guardian_aura"": 250, ""meditation"": 290, ""heal_major"": 330}","{""classes"": [[""exorcist"", 4], [""knight"", 3]]}"
oracle,Oracle,ORA,magical_defense,divine,6,10,,,,1.0,10.0,,,2.0,6.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""revivify"": 110, ""shellga"": 140, ""steel_skin"": 180, ""magic_barrier"": 180, ""petrify"": 220, ""charm"": 250, ""stop"": 290}","{""classes"": [[""cleric"", 4], [""seer"", 3]]}"
hierophant,Hierophant,HIE,magical_defense,divine,9,10,,,,1.0,13.0,,,2.0,7.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""divine_miracle"": 150, ""holyga"": 200, ""holy_maelstrom"": 260, ""arise"": 260, ""res_boost_3"": 310, ""absorb_blow"": 360, ""concentration"": 410}","{""classes"": [[""white_mage"", 5], [""sage"", 3]]}"
aegis_mage,Aegis Mage,AEG,magical_defense,wards,6,10,,,,1.0,10.0,,,2.0,6.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""rod"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""esunaga"": 110, ""death_sentence"": 140, ""mire"": 180, ""shackle"": 180, ""demoralize"": 220, ""curse_of_frailty"": 250, ""renew"": 290}","{""classes"": [[""abjurer"", 4], [""mage"", 3]]}"
nullifier,Nullifier,NUL,magical_defense,wards,7,10,,,,1.0,11.0,,,2.0,6.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""rod"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""absolute_negation"": 120, ""blizzaga"": 160, ""comet"": 200, ""gravija"": 200, ""leaping_strike"": 250, ""haymaker"": 290, ""body_slam"": 330}","{""classes"": [[""abjurer"", 4], [""occultist"", 3]]}"
seer,Seer,SEE,magical_defense,divine,4,10,,,,1.0,8.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""radiant_cone"": 80, ""holy_spear"": 100, ""holy_nova"": 130, ""cure_2"": 130, ""auto_regen"": 160, ""critical_recovery"": 180, ""last_stand_innate"": 210}","{""classes"": [[""scholar"", 3], [""acolyte"", 3]]}"
bishop,Bishop,BIS,magical_defense,divine,4,10,,,,1.0,8.0,,,2.0,5.0,,,,,1.0,,0.4,0.4,0.6,"[""staff"", ""mace"", ""robe"", ""enchanted_robe"", ""crystal_shield"", ""shield"", ""healers_charm"", ""amulet_of_protection""]",[],[],{},"{""cure_3"": 80, ""soothing_mist"": 100, ""poison_arrow"": 130, ""frostbite"": 130, ""undead_ward"": 160, ""hamedo_strike"": 180, ""gunner_focus"": 210}","{""classes"": [[""white_mage"", 5]]}"
herald,Herald,HER,support,song,2,10,1.0,,,,5.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""taunting_jig"": 50, ""empower"": 60, ""focus_magic"": 80, ""swift"": 80, ""shock_round"": 100, ""stone_1"": 110, ""aero_1"": 130}","{""classes"": [[""page"", 4]]}"
bard,Bard,BAR,support,song,3,10,1.0,,,,6.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""inspire"": 60, ""lament"": 80, ""wiznaibus"": 100, ""mimic_daravon"": 100, ""item_finder"": 130, ""equip_axe"": 150, ""equip_spear"": 170}","{""classes"": [[""page"", 4], [""cutpurse"", 3]]}"
minstrel,Minstrel,MIN,support,song,4,10,1.0,,,,7.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""discord"": 80, ""insult"": 100, ""veil_dance"": 130, ""inspire_courage"": 130, ""scavenger"": 160, ""rapid_reload"": 180, ""healing_chord"": 210}","{""classes"": [[""bard"", 5]]}"
dancer,Dancer,DAN,support,song,4,10,1.0,,,,7.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""focus_fire"": 80, ""rage"": 100, ""shadow_step"": 130, ""bravery"": 130, ""faith"": 160, ""wyvern_strike"": 180, ""frenzy"": 210}","{""classes"": [[""bard"", 4]]}"
skald,Skald,SKA,support,song,5,10,1.0,,,,8.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""lute"", ""daggers"", ""rapier"", ""robe"", ""light_armor"", ""war_horn"", ""healers_charm"", ""crown_of_wisdom""]",[],[],{},"{""sandstorm"": 90, ""tempo_shift"": 120, ""field_orders"": 160, ""sleeping_melody"": 160, ""healer_innate"": 190, ""reraise_innate"": 220, ""retaliate"": 250}","{""classes"": [[""minstrel"", 4]]}"
scholar,Scholar,SCH,support,tactic,2,10,1.0,,,,5.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""sword"", ""mace"", ""daggers"", ""light_armor"", ""medium_armor"", ""war_horn"", ""crown_of_wisdom""]",[],[],{},"{""water_1"": 50, ""fire_shard"": 60, ""steam_dart"": 80, ""alchemical_dart"": 80, ""aether_dart"": 100, ""sonic_dart"": 110, ""drain"": 130}","{""classes"": [[""apprentice"", 4]]}"
chemist,Chemist,CHE,support,alchemy,2,10,1.0,,,,5.0,,1.0,2.0,,0.2,,,,1.0,,0.5,0.4,,"[""daggers"", ""sling"", ""staff"", ""robe"", ""light_armor"", ""healers_charm"", ""smoke_bomb_pouch""]",[],[],{},"{""holy_water"": 50, ""flash_powder"": 60, ""elixir_minor"": 80, ""bio_1"": 80, ""dark_1"": 100, ""curse"": 110, ""speed_break"": 130}","{""classes"": [[""tinker"", 4]]}"
alchemist,Alchemist,ALC,support,alchemy,3,10,1.0,,,,6.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""daggers"", ""sling"", ""staff"", ""robe"", ""light_armor"", ""healers_charm"", ""smoke_bomb_pouch""]",[],[],{},"{""acid_flask"": 60, ""oil_flask"": 80, ""sleeping_draught"": 100, ""confuse"": 100, ""alchemical_body"": 130, ""equip_bow"": 150, ""equip_dagger"": 170}","{""classes"": [[""chemist"", 5]]}"
apothecary,Apothecary,APO,support,alchemy,3,10,1.0,,,,6.0,,1.0,3.0,,0.2,,,,1.0,,0.5,0.4,,"[""daggers"", ""sling"", ""staff"", ""robe"", ""light_armor"", ""healers_charm"", ""smoke_bomb_pouch""]",[],[],{},"{""disable"": 60, ""darkness"": 80, ""oil"": 100, ""float"": 100, ""equip_mace"": 130, ""equip_staff"": 150, ""toxic_dart"": 170}","{""classes"": [[""chemist"", 4]]}"
